,Security Description,Issuer,Type,Security No.
157,SALIK CO PJSC COMMON STOCK AED 0.01,SALIK CO PJSC ,COMMON STOCK AED 0.01,BJN5952
158,SANLAM LTD COMMON STOCK ZAR 1,SANLAM LTD ,COMMON STOCK ZAR 1,B0L6750
159,SARANTIS SA EUR1.53,SARANTIS SA EUR1.53,,7124958
160,SASOL LTD COMMON STOCK ZAR 0,SASOL LTD ,COMMON STOCK ZAR 0,6777450
161,SAUDI ARABIAN OIL CO COMMON STOCK SAR,SAUDI ARABIAN OIL CO ,COMMON STOCK SAR,BJTM270
162,SAUDI ARAMCO BASE OIL CO COMMON STOCK ,SAUDI ARAMCO BASE OIL CO ,COMMON STOCK ,BMDKMB5
163,SAUDI AWWAL BANK COMMON STOCK SAR 10,SAUDI AWWAL BANK ,COMMON STOCK SAR 10,B12LSY7
164,SAUDI BASIC INDUSTRIES CORP COMMON STOCK SAR 10,SAUDI BASIC INDUSTRIES CORP ,COMMON STOCK SAR 10,B1324D0
165,SAUDI GROUND SERVICES CO COMMON STOCK SAR 10,SAUDI GROUND SERVICES CO ,COMMON STOCK SAR 10,BYYTJ69
166,SAUDI TELECOM CO COMMON STOCK,SAUDI TELECOM CO ,COMMON STOCK,B12M7Q5
167,SAUDIA DAIRY & FOODSTUFF CO COMMON STOCK SAR 10,SAUDIA DAIRY & FOODSTUFF CO ,COMMON STOCK SAR 10,B133P41
168,SBERBANK OF RUSSIA PJSC,SBERBANK OF RUSSIA PJSC,,0H5855S
169,SBERBANK OF RUSSIA PJSC,SBERBANK OF RUSSIA PJSC,,X8C6398
170,SBERBANK OF RUSSIA PJSC PREFERENCE RUB 3,SBERBANK OF RUSSIA PJSC PREFERENCE RUB 3,,0H5856S
171,SBERBANK OF RUSSIA PJSC PREFERENCE RUB 3,SBERBANK OF RUSSIA PJSC PREFERENCE RUB 3,,X8C6155
172,SEVERSTAL PAO GDR USD,SEVERSTAL PAO GDR USD,,X84C975
173,SEVERSTAL PAO GDR USD,SEVERSTAL PAO GDR USD,,0H6368S
174,SHOPRITE HOLDINGS LTD COMMON STOCK ZAR 113.4,SHOPRITE HOLDINGS LTD ,COMMON STOCK ZAR 113.4,6801575
175,SIBANYE STILLWATER LTD COMMON STOCK ZAR,SIBANYE STILLWATER LTD ,COMMON STOCK ZAR,BL0L913
176,SISTEMA PJSFC COMMON STOCK RUB 0.09,SISTEMA PJSFC ,COMMON STOCK RUB 0.09,0H5808S
177,SISTEMA PJSFC COMMON STOCK RUB 0.09,SISTEMA PJSFC ,COMMON STOCK RUB 0.09,X84D1F7
