,Security Description,Security No.,Symbol,Exchange,Currency,Conv Rate,September 2024,August 2024,July 2024,June 2024,May 2024,April 2024,March 2024,February 2024,January 2024,December 2023,November 2023,October 2023,September 2023,August 2023,July 2023,June 2023,May 2023,April 2023,March 2023,February 2023,January 2023,December 2022,November 2022,October 2022,September 2022,August 2022,July 2022,June 2022,May 2022,April 2022,March 2022
42,LEEJAM SPORTS CO JSC COMMON STOCK SAR 10,BF12ZV5,1830,TADAWUL,SAR,1.0,4537,4537,4537,4537,4537,2904,2904,2904,2904,2904,2904,6125,6125,6125,7955,7955,7955,7955,7955,7955,0,0,0,0,0,0,0,0,0,0,0
43,DUBAI ELECTRICITY & WATER AU,BJLTVJ4,DEWA,DFM,AED,1.0,361140,361140,361140,361140,361140,361140,361140,292031,292031,292031,292031,292031,292031,292031,292031,292031,292031,292031,292031,292031,0,0,0,0,0,0,0,0,0,0,0
44,SAUDI ARAMCO BASE OIL CO COMMON STOCK SAR 10,BMDKMB5,2223,TADAWUL,SAR,1.0,7008,7008,7008,7008,7008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,DUBAI ISLAMIC BANK PJSC COMMON STOCK AED 1,6283452,DIB,DFM,AED,1.0,144384,144384,144384,144384,144384,144384,144384,144384,144384,144384,144384,144384,144384,144384,144384,144384,144384,144384,144384,0,0,0,0,0,0,0,0,0,0,0,0
46,BANK OF GEORGIA GROUP PLC COMMON STOCK GBP 1,BF4HYT8,BGEO,LSE,GBX,1.0,4992,4992,4992,4992,4992,4992,4992,4992,4992,3884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,PARKIN CO PJSC COMMON STOCK AED 0.02,BRRGQF6,PARKIN,DFM,AED,1.0,234924,234924,234924,234924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,ALDAR PROPERTIES PJSC COMMON STOCK AED 1,B0LX3Y2,ALDAR,ADX,AED,1.0,118206,161482,202697,172191,172191,172191,172191,172191,172191,172191,172191,226609,226609,226609,226609,226609,226609,226609,226609,226609,0,0,0,0,0,0,0,0,0,0,0
49,BIDVEST GROUP LTD/THE COMMON STOCK ZAR 5,6100089,BST,JSE,ZAC,1.0,14151,14151,14151,14151,14151,14151,14151,16665,16665,16665,16665,16665,16665,16665,16665,16665,12293,12293,12293,12293,0,0,0,0,0,0,0,0,0,0,0
50,NATIONAL BANK OF GREECE SA COMMON STOCK EUR 1,BG087C6,0RCR,LSIN,EUR,1.0,28042,28042,28042,28042,28042,40671,40671,40671,40671,40671,40671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,QATAR GAS TRANSPORT CO LTD COMMON STOCK QAR 1,B0MLBC9,QGTS,QSE,QAR,1.0,196322,196322,196322,196322,196322,196322,196322,196322,196322,196322,196322,196322,196322,196322,196322,196322,196322,196322,196322,196322,0,0,0,0,0,0,0,0,0,0,0
52,TURK HAVA YOLLARI AO COMMON STOCK TRY 1,B03MYK0,THYAO,BIST,TRY,1.0,27950,27950,27950,22901,22901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
