Security Description,Issuer,Security No.,Symbol,Exchange,Currency,Conv Rate
JERONIMO MARTINS SGPS SA COMMON STOCK EUR 1,JERONIMO MARTINS SGPS SA,B1Y1SQ7,0EXG,LSIN,EUR,1
JPM GBP LIQUIDITY LVNAV X (DIST.),JPM GBP LIQUIDITY LVNAV X (DIST.),5819115,GBPGBP,FX_IDC,GBP,1
JPM USD LIQUIDITY LVNAV X (DIST.),JPM USD LIQUIDITY LVNAV X (DIST.),7253766,GBPGBP,FX_IDC,GBP,1
JSC KASPI.KZ GDR-REG S,JSC KASPI.KZ GDR-REG S,BMXZ8G7,KSPI,NASDAQ,USD,1
JSE LTD,JSE LTD,B12W5L6,JSE,JSE,ZAC,1
JUMBO SA COMMON STOCK EUR 0.88,JUMBO SA,7243530,0LRI,LSIN,EUR,1
KASPI.KZ JSC - ADR (SPONSORED) LEVEL III,KASPI.KZ JSC - ADR (SPONSORED) LEVEL III,BJY21K1,KSPI,NASDAQ,USD,1
KGHM POLSKA MIEDZ SA COMMON STOCK PLN 10,KGHM POLSKA MIEDZ SA,5263251,0O8D,LSIN,PLN,1
KOMERCNI BANKA AS COMMON STOCK CZK 100,KOMERCNI BANKA AS,4519449,0IKH,LSIN,CZK,1
KRKA DD NOVO MESTO COMMON STOCK EUR 1,KRKA DD NOVO MESTO,5157235,0HLK,LSIN,EUR,1
KRUK SA COMMON STOCK PLN 1,KRUK SA,B4PTLY0,0Q3Y,LSIN,PLN,1
KUMBA IRON ORE LTD COMMON STOCK ZAR 0.01,KUMBA IRON ORE LTD,B1G4262,KUMBF,OTC,USD,1
LEEJAM SPORTS CO JSC COMMON STOCK SAR 10,LEEJAM SPORTS CO JSC,BF12ZV5,1830,TADAWUL,SAR,1
LION FINANCE GROUP PLC COMMON STOCK GBP 1,LION FINANCE GROUP PLC,BF4HYT8,BGEO,LSE,GBX,1
LPP SA COMMON STOCK PLN 2,LPP SA,7127979,LPP,GPW,PLN,1
LUKOIL PJSC COMMON STOCK RUB,LUKOIL PJSC,X84D1F5,LKOH,RUS,RUB,1
LUKOIL PJSC COMMON STOCK RUB,LUKOIL PJSC,0H5797S,LKOH,RUS,RUB,1
LUKOIL PJSC COMMON STOCK RUB 0.025 RUB,LUKOIL PJSC,X84C974,LKOH,RUS,RUB,1
LUKOIL PJSC COMMON STOCK RUB 0.025 RUB,LUKOIL PJSC,2H6442S,LKOH,RUS,RUB,1
LUMI RENTAL CO COMMON STOCK SAR 10,LUMI RENTAL CO,BN4J940,LKOH,RUS,RUB,1
MAGNIT PJSC COMMON STOCK RUB 0.01,MAGNIT PJSC,X8C505A,MGNT,RUS,RUB,1
MAGNIT PJSC COMMON STOCK RUB 0.01,MAGNIT PJSC,0H5813S,MGNT,RUS,RUB,1
MAGYAR TELEKOM TELECOMMUNICATIONS PLC COMMON STOCK HUF 100,MAGYAR TELEKOM TELECOMMUNICATIONS PLC,4577469,0NUG,LSE,HUF,1
MD MEDICAL GROUP INVESTMENTS PLC GDR USD,MD MEDICAL GROUP INVESTMENTS PLC GDR USD,X8C6397,MDMG,RUS,RUB,1
MD MEDICAL GROUP INVESTMENTS PLC GDR USD,MD MEDICAL GROUP INVESTMENTS PLC GDR USD,0H6371S,MDMG,RUS,RUB,1
METLEN ENERGY & METALS PLC COMMON STOCK EUR 11,METLEN ENERGY & METALS PLC,BTQGS77,MTLN,LSE,EUR,1
METLEN ENERGY & METALS SA COMMON STOCK,METLEN ENERGY & METALS SA,5898664,MTLN,LSE,EUR,1
MMC NORILSK NICKEL PJSC COMMON STOCK RUB 1,MMC NORILSK NICKEL PJSC,0H5804S,GMKN,RUS,RUB,1
MMC NORILSK NICKEL PJSC COMMON STOCK RUB 1,MMC NORILSK NICKEL PJSC,X84C977,GMKN,RUS,RUB,1
MODERN MILLS CO COMMON STOCK SAR 10,MODERN MILLS CO,BSLKY24,2284,TADAWUL,SAR,1
MOL HUNGARIAN OIL & GAS PLC COMMON STOCK HUF 125,MOL HUNGARIAN OIL & GAS PLC,BD5ZXH8,0RUK,LSIN,HUF,1
MONETA MONEY BANK AS COMMON STOCK CZK 20,MONETA MONEY BANK AS,BD3CQ16,0RGC,LSIN,CZK,1
MOTOR OIL HELLAS CORINTH REFINERIES SA COMMON STOCK EUR 0.75,MOTOR OIL HELLAS CORINTH REFINERIES SA,5996234,0MQT,LSIN,EUR,1
MOTUS HOLDINGS LTD COMMON STOCK ZAR,MOTUS HOLDINGS LTD,BDRN3H0,MTH,JSE,ZAC,1
MOUWASAT MEDICAL SERVICES CO COMMON STOCK SAR 10,MOUWASAT MEDICAL SERVICES CO,B403QG4,4002,TADAWUL,SAR,1
MR PRICE GROUP LTD COMMON STOCK ZAR 0.025,MR PRICE GROUP LTD,BYXW419,MRPZF,OTC,USD,1
MTN GROUP LTD COMMON STOCK ZAR 0.01,MTN GROUP LTD,6563206,MTNOF,OTC,USD,1
NAC KAZATOMPROM JSC GDR USD,NAC KAZATOMPROM JSC GDR USD,BGXQL36,KAP,LSIN,USD,1
NASPERS LTD COMMON STOCK ZAR 2,NASPERS LTD,6622691,NPN,JSE,ZAC,1
NASPERS LTD COMMON STOCK ZAR 2,NASPERS LTD,BN0VX82,NPN,JSE,ZAC,1
NASPERS LTD COMMON STOCK ZAR 2,NASPERS LTD,BV2FFX7,NPN,JSE,ZAC,1
NATIONAL BANK OF GREECE SA COMMON STOCK EUR 1,NATIONAL BANK OF GREECE SA,BG087C6,0RCR,LSIN,EUR,1
NATIONAL BANK OF KUWAIT SAKP COMMON STOCK KWD 100,NATIONAL BANK OF KUWAIT SAKP,6889526,NBK,KSE,KWF,1
NEDBANK GROUP LTD COMMON STOCK ZAR 100,NEDBANK GROUP LTD,6628008,NED,JSE,ZAC,1
NOVA LJUBLJANSKA BANKA DD GDR EUR,NOVA LJUBLJANSKA BANKA DD GDR EUR,BGRPD22,55VX,LSE,EUR,1
NOVATEK PJSC COMMON STOCK RUB 0.1,NOVATEK PJSC,X84C970,NVTK,RUS,RUB,1
NOVATEK PJSC COMMON STOCK RUB 0.1,NOVATEK PJSC,X84C972,NVTK,RUS,RUB,1
NOVATEK PJSC COMMON STOCK RUB 0.1,NOVATEK PJSC,0H5828S,NVTK,RUS,RUB,1
NOVATEK PJSC COMMON STOCK RUB 0.1,NOVATEK PJSC,2H6464S,NVTK,RUS,RUB,1
NOVOLIPETSK STEEL PJSC COMMON STOCK RUB,NOVOLIPETSK STEEL PJSC,2H7675S,NLMK,RUS,RUB,1
NOVOLIPETSK STEEL PJSC COMMON STOCK RUB,NOVOLIPETSK STEEL PJSC,X84C97E,NLMK,RUS,RUB,1
