symbol,isin,winding_down,auditable,audit_link
ATR,GB0008710799,,TRUE,
SBO,GB00BN7JZR28,,FALSE,
SBSI,GB00BF781319,,FALSE,
SERE,GB00BY7R8K77,,FALSE,
SCF,GB0007915860,,TRUE,
SJG,GB0008022849,,TRUE,
SOI,GB00B0CRWN59,,TRUE,
SREI,GB00B01HM147,,FALSE,
SCP,GB0006108418,,TRUE,
INOV,GB00BVG1CF25,,FALSE,
SAIN,GB0007873697,,TRUE,
SMT,GB00BLDYK618,,TRUE,
SST,GB0007836132,,TRUE,
SEIT,GB00BGHVZM47,,FALSE,
SEED,GG00BRK9BQ81,,FALSE,
SVCT,GB00BG13MH08,,FALSE,
HYG,GB0031256109,,TRUE,
SEQI,GG00BV54HY67,,FALSE,
SSIT,GB00BKPG0138,,FALSE,
SIGC,GG00BZ3C3B94,,FALSE,
SHRS,GB0008052507,,TRUE,
SLFX,GG00BFXYHJ13,TRUE,FALSE,
SLFR,GG00BN56JF17,TRUE,FALSE,
SSON,GB00BGJWTR88,,TRUE,
SWEF,,,FALSE,
SEC,GB00B0BDCB21,,TRUE,
STS,GB00B09G3N23,,TRUE,
SUPR,GB00BF345X11,,FALSE,
SURE,GB00BYWYZ460,,FALSE,
SVM,GB0000684174,,TRUE,
SIHL,VGG548121059,,TRUE,
SYNC,GG00B8P59C08,,FALSE,
THRL,GB00BJGTLF51,,FALSE,
TMIP,GG00BP2NJT37,,FALSE,
TMPL,GB00BMV92D64,,TRUE,
TEM,GB00BKPG0S09,,TRUE,
TFGS,GG00B1RMC548,,FALSE,
TFG,GG00B1RMC548,,FALSE,
TV1,GB00BFRSVQ41,,FALSE,
TV2A,,,FALSE,
D467,GB00BWX53D91,,FALSE,
TV2H,GB00BDHF5D62,,FALSE,
TV2V,GB00BDHF5D62,,FALSE,
ESCT,GB00BMCF8689,,TRUE,
GSCT,GB00BKLXD974,,TRUE,
TRIG,GG00BBHX2H91,,FALSE,
TPOU,GG00B1YQ7219,,FALSE,
TRY,GB0009064097,,TRUE,
TENT,GB00BMCBZL07,TRUE,TRUE,
SOHO,GB00BF0P7H59,,FALSE,
TPV,GB00BDTYGZ09,,FALSE,
BBOX,GB00BG49KP99,,FALSE,
EBOX,GB00BG382L74,,FALSE,
SHPP,GG00BSFVPB94,,FALSE,
TFIF,GG00B90J5Z95,,FALSE,
SMIF,GG00BJVDZ946,,FALSE,
SHED,GB00BYV8MN78,,FALSE,
UEM,GB00BD45S967,,TRUE,
VIP,GB0008484718,,FALSE,
GSEO,GB00BNKVP754,,FALSE,
VEIL,KYG9361H1092,,TRUE,
VNH,GG00BJQZ9H10,,TRUE,
VOF,GG00BYXVT888,,FALSE,
VTA,GG00B1GHHH78,,FALSE,
VTAS,GG00B1GHHH78,,FALSE,
VSL,GB00BVG6X439,TRUE,FALSE,
WAFR,,,FALSE,
WHR,GB00BD2NCM38,,FALSE,
WKOF,GG00B933LL68,,FALSE,
WTAN,GB00BJTRSD38,,TRUE,
WWH,GB00BN455J50,,TRUE,
WINV,GG00BHXH0C87,,TRUE,
III,GB00B1YW4409,,FALSE,
AAS,GB00BMF19B58,,TRUE,
ADA,IM00B986V543,,FALSE,
CRWN,GB0002577434,,FALSE,
KAY,GB0007174294,,FALSE,
AMAT,GB00B641BB82,,TRUE,
AGT,GB00BLH3CY60,,TRUE,
AJOT,GB00BD6H5D36,,TRUE,
BHMG,GG00BQBFY362,,FALSE,
BHMU,GG00BQBFY479,,FALSE,
BFSP,GB00BKV46W45,,FALSE,
BRWM,GB0005774855,,TRUE,
CLC,GB00BYQPF348,,TRUE,
HGT,GB00BJ0LT190,,FALSE,
IGC,GB00B0P8RJ60,,TRUE,
LMS,GB00B12MHD28,,FALSE,
OOA,GB0034202076,,TRUE,
OAP3,GB00B17B3479,,FALSE,
OTV2,GB00B28V9347,,FALSE,
PUAL,GB00BGMG7F10,,FALSE,
PU13,GB00BD5B1L68,,FALSE,
UAV,GB00B1RTFN43,,FALSE,
USFP,GB00BJCWFX49,,FALSE,
UTL,BMG917071026,,FALSE,
